"covariates","taxa","mppi","beta"
"Lincosamide nucleotidyltransferases","Halalkalicoccus",0.617,0.3220482835
"Lincosamide nucleotidyltransferases","Capnocytophaga",0.973,0.3684013058
"Lincosamide nucleotidyltransferases","Thermosynechococcus",0.719,0.2500385452
"Lincosamide nucleotidyltransferases","Coprothermobacter",0.603,0.11365305334
"Lincosamide nucleotidyltransferases","Candidatus Methylomirabilis",1,0.6818208472
"Lincosamide nucleotidyltransferases","Rhodospirillum",0.594,0.1653297362
"VanG-type regulator","Nitrosopumilus",0.638,0.3039461151
"VanG-type regulator","Stigmatella",1,0.5718185196
"VanG-type regulator","Enterobacter",0.585,0.2798381742
"VanG-type resistance protein","Picrophilus",0.704,0.291277607
"VanG-type resistance protein","Granulicella",0.576,-0.1654410154
"VanG-type resistance protein","Ethanoligenens",0.595,-0.1478187632
"VanG-type resistance protein","Methylotenera",0.525,0.1465721874
"Aminoglycoside efflux pumps","PhiCD119likevirus",1,-0.5657305864
"Phenicol 23S rRNA methyltransferases","Methanotorris",0.775,0.3085814659
"Phenicol 23S rRNA methyltransferases","Methanomassiliicoccus",0.596,-0.12871069548
"Phenicol 23S rRNA methyltransferases","Candidatus Koribacter",0.699,0.2895474957
"Phenicol 23S rRNA methyltransferases","Saccharopolyspora",0.636,-0.3618273469
"Phenicol 23S rRNA methyltransferases","Odoribacter",0.584,0.1961058392
"Phenicol 23S rRNA methyltransferases","Calditerrivibrio",0.987,-0.4321115384
"Phenicol 23S rRNA methyltransferases","Ilyobacter",0.521,-0.4843793899
"Phenicol 23S rRNA methyltransferases","Rhodopirellula",0.795,-0.4182166997
"Phenicol 23S rRNA methyltransferases","Brevundimonas",1,0.18510749638
"Macrolide resistance efflux pumps","Capnocytophaga",0.87,-0.20439146087
"Macrolide resistance efflux pumps","Dokdonia",0.534,0.056729591
"Macrolide resistance efflux pumps","Leptotrichia",0.503,-0.2043230308
"Aminoglycoside efflux regulator","Hyperthermus",0.755,-0.233108404
"Aminoglycoside efflux regulator","Natrialba",0.845,-0.328282967
"Aminoglycoside efflux regulator","Arthrospira",0.949,-0.2340430859
"Aminoglycoside efflux regulator","Beijerinckia",0.58,-0.12535195867
"Aminoglycoside efflux regulator","Chrysovirus",0.608,0.1548656099
"Quinolone resistance protein Qnr","Actinoplanes",0.549,0.1453569785
"Quinolone resistance protein Qnr","Acidiphilium",0.714,0.393386133
"Quinolone resistance protein Qnr","Azospira",0.878,-0.6933259995
"Quinolone resistance protein Qnr","Pelobacter",0.74,-0.4445656787
"Quinolone resistance protein Qnr","Nitratiruptor",0.702,-0.3250616379
"Quinolone resistance protein Qnr","Alcanivorax",0.623,-0.3331147719
"Quinolone resistance protein Qnr","Parapoxvirus",0.561,-0.5247483539
"Quinolone resistance protein Qnr","Suipoxvirus",0.823,0.4945583974
"Phenicol efflux pumps","Methanocaldococcus",0.779,0.3336173756
"Phenicol efflux pumps","Actinosynnema",0.652,-0.16198602853
"Phenicol efflux pumps","Anaplasma",0.501,-0.1643419344
"Phenicol efflux pumps","PhiCD119likevirus",1,0.2057571496
"Phenicol efflux pumps","Emaravirus",1,0.627512702
"Phenicol efflux pumps","Alphaturrivirus",1,0.9476978578
"Tetracycline resistance ribosomal protection proteins","Renibacterium",0.957,-0.6453386171
"Tetracycline resistance ribosomal protection proteins","Omegapapillomavirus",0.609,-0.3121467943
"Tetracycline inactivation enzymes","Methanosphaerula",0.557,0.289129589
"Tetracycline inactivation enzymes","Modestobacter",0.558,0.09727078321
"Tetracycline inactivation enzymes","Natranaerobius",0.622,-0.14790125498
"Tetracycline inactivation enzymes","Rhodopirellula",0.795,-0.4486369206
"Tetracycline inactivation enzymes","Desulfobacca",0.883,0.2558691101
"Tetracycline inactivation enzymes","Halothiobacillus",0.505,0.1646116828
